ginger,jacob,1,szn 1 week 1
jacob,whyachi,1
crobatoh,whyachi,0
crobatoh,orang,0
whyachi,ghostly,0
danishdiamond,ghostly,1
vector,whyachi,1
serpy,crobatoh,1
flare,turtle,0,s4w1
ginger,kozak,0
simon,pickle,0
cynda,jacob,1
serpy,orang,0
webster,ghostly,1
whyachi,henke,1
crobatoh,mesp,0
ghostly,crobatoh,0,s4w2
jacob,flare,0
mesp,pickle,0
orang,turtle,0
serpy,whyachi,1
henke,cynda,1
kozak,webster,0
simon,ginger,1
crobatoh,jacob,1,s4w3
henke,ginger,0
cynda,kozak,1
simon,orang,1
whyachi,ghostly,1
webster,turtle,1
pickle,serpy,1
mesp,flare,0
orang,flare,0,s4w4
ginger,mesp,1
henke,jacob,1
kozak,ghostly,1
webster,simon,1
whyachi,turtle,0
cynda,serpy,0
crobatoh,pickle,0
webster,mesp,1,s4w5
henke,flare,0
crobatoh,kozak,0
ginger,pickle,0
cynda,turtle,0
orang,whyachi,1
ghostly,simon,0
serpy,jacob,1
simon,cynda,1,s4w6
kozak,henke,0
flare,webster,0
ginger,whyachi,0
turtle,crobatoh,1
jacob,mesp,0
ghostly,serpy,0
pickle,orang,1
crobatoh,ginger,0,s4w7
simon,kozak,1
flare,whyachi,0
serpy,henke,1
ghostly,mesp,0
orang,cynda,0
pickle,webster,0
jacob,turtle,0
ghostly,pickle,0,s4w8
simon,crobatoh,1
turtle,henke,1
serpy,flare,1
webster,ginger,1
whyachi,cynda,0
mesp,kozak,0
orang,jacob,1
simon,flare,1,s4w9
ghostly,jacob,0
turtle,pickle,1
ginger,serpy,1
orang,crobatoh,1
cynda,webster,0
whyachi,kozak,0
mesp,henke,0
crobatoh,webster,0,s4w10
flare,cynda,0
serpy,turtle,1
whyachi,jacob,1
simon,mesp,1
orang,henke,0
ginger,ghostly,1
ocho,pickle,0
serpy,pickle,0,s4playoffs
webster,turtle,0
ocho,ginger,1
mesp,simon,0
flare,cynda,1
henke,whyachi,0
ocho,flare,1
crobatoh,mesp,1
jacob,cynda,0
ginger,ghostly,1
mesp,ghostly,0
orang,henke,0
orang,jacob,0
whyachi,simon,0
crobatoh,henke,0
ghostly,jacob,0
mesp,orang,0,hell yeah get rekt
furret2,mesp,1,s5w1
wof,serpy,1
tryyal,orange,1
jacob,maty,0
kozak,whyachi,0
flare,henke,0
ocho,orang,0
risa,pickle,0
mattyp,ghostly,1
crobatoh,vector,0
ginger,turtle,0
sylvee,webster,0
orang,serpy,1,s5w2
ghostly,flare,1
ocho,vector,0
whyachi,orange,1
crobatoh,sylvee,0
